"GEO_ID","NAME","B25014I_001E","B25014I_001M","B25014I_002E","B25014I_002M","B25014I_003E","B25014I_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!1.00 or less occupants per room","Margin of Error!!Total!!1.00 or less occupants per room","Estimate!!Total!!1.01 or more occupants per room","Margin of Error!!Total!!1.01 or more occupants per room"
"8600000US01029","ZCTA5 01029","0","12","0","12","0","12"
"8600000US01030","ZCTA5 01030","180","86","180","86","0","19"
"8600000US01031","ZCTA5 01031","0","12","0","12","0","12"
"8600000US01032","ZCTA5 01032","0","12","0","12","0","12"
"8600000US01033","ZCTA5 01033","81","64","81","64","0","17"
"8600000US01034","ZCTA5 01034","13","16","13","16","0","12"
"8600000US01035","ZCTA5 01035","91","52","91","52","0","17"
"8600000US01036","ZCTA5 01036","34","26","34","26","0","17"
"8600000US01037","ZCTA5 01037","0","12","0","12","0","12"
"8600000US01038","ZCTA5 01038","7","12","7","12","0","12"
"8600000US01039","ZCTA5 01039","5","7","0","12","5","7"
"8600000US01040","ZCTA5 01040","7092","353","6560","381","532","145"
"8600000US01050","ZCTA5 01050","5","9","5","9","0","12"
"8600000US01053","ZCTA5 01053","9","15","9","15","0","12"
"8600000US01054","ZCTA5 01054","0","12","0","12","0","12"
"8600000US01056","ZCTA5 01056","427","163","398","163","29","45"
"8600000US01057","ZCTA5 01057","35","31","35","31","0","17"
"8600000US01060","ZCTA5 01060","501","146","501","146","0","19"
"8600000US01062","ZCTA5 01062","363","137","353","134","10","15"
"8600000US01063","ZCTA5 01063","0","12","0","12","0","12"
"8600000US01066","ZCTA5 01066","0","12","0","12","0","12"
"8600000US01068","ZCTA5 01068","0","12","0","12","0","12"
"8600000US01069","ZCTA5 01069","106","65","106","65","0","17"
"8600000US01070","ZCTA5 01070","6","7","6","7","0","12"
"8600000US01071","ZCTA5 01071","15","19","15","19","0","12"
"8600000US01072","ZCTA5 01072","17","10","17","10","0","12"
"8600000US01073","ZCTA5 01073","0","17","0","17","0","17"
"8600000US01074","ZCTA5 01074","0","12","0","12","0","12"
"8600000US01075","ZCTA5 01075","257","130","257","130","0","19"
"8600000US01077","ZCTA5 01077","41","39","41","39","0","17"
"8600000US01079","ZCTA5 01079","0","12","0","12","0","12"
"8600000US01080","ZCTA5 01080","63","62","63","62","0","12"
"8600000US01081","ZCTA5 01081","13","16","9","15","4","7"
"8600000US01082","ZCTA5 01082","247","126","227","119","20","29"
"8600000US01083","ZCTA5 01083","0","12","0","12","0","12"
"8600000US01084","ZCTA5 01084","0","12","0","12","0","12"
"8600000US01085","ZCTA5 01085","954","208","954","208","0","26"
"8600000US01086","ZCTA5 01086","0","12","0","12","0","12"
"8600000US01088","ZCTA5 01088","0","12","0","12","0","12"
"8600000US01089","ZCTA5 01089","999","219","954","228","45","65"
"8600000US01092","ZCTA5 01092","32","54","32","54","0","12"
