"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"8600000US29153","ZCTA5 29153","14934","1027","14509","1026","425","266"
"8600000US29162","ZCTA5 29162","3046","330","2861","321","185","135"
"8600000US29169","ZCTA5 29169","24170","958","20335","855","3835","712"
"8600000US29202","ZCTA5 29202","274","72","262","71","12","21"
"8600000US29148","ZCTA5 29148","6910","530","6861","531","49","40"
"8600000US29320","ZCTA5 29320","1017","854","415","567","602","675"
"8600000US29453","ZCTA5 29453","1136","397","1062","390","74","95"
"8600000US29581","ZCTA5 29581","5189","735","4837","628","352","250"
"8600000US29657","ZCTA5 29657","15869","1027","15501","991","368","186"
"8600000US29569","ZCTA5 29569","17587","1206","17190","1199","397","194"
"8600000US29607","ZCTA5 29607","40940","1233","38773","1193","2167","418"
"8600000US29741","ZCTA5 29741","2239","412","2216","411","23","28"
"8600000US29902","ZCTA5 29902","15826","913","14620","909","1206","377"
"8600000US29944","ZCTA5 29944","3985","553","3929","549","56","70"
"8600000US29945","ZCTA5 29945","5232","926","5199","915","33","49"
"8600000US29712","ZCTA5 29712","2199","346","2128","344","71","113"
"8600000US29520","ZCTA5 29520","13892","935","13735","929","157","128"
"8600000US29642","ZCTA5 29642","32358","1124","31443","1135","915","286"
"8600000US29667","ZCTA5 29667","263","63","263","63","0","12"
"8600000US29689","ZCTA5 29689","3934","381","3934","381","0","12"
"8600000US29080","ZCTA5 29080","2859","339","2765","350","94","66"
"8600000US29146","ZCTA5 29146","1694","364","1679","362","15","23"
"8600000US29045","ZCTA5 29045","25814","1366","24112","1377","1702","580"
"8600000US29118","ZCTA5 29118","17232","1229","16501","1190","731","461"
"8600000US29372","ZCTA5 29372","4164","546","3955","537","209","132"
"8600000US29492","ZCTA5 29492","13202","674","12535","648","667","306"
"8600000US29020","ZCTA5 29020","21408","951","20608","944","800","348"
"8600000US29044","ZCTA5 29044","5852","871","5721","861","131","132"
"8600000US29036","ZCTA5 29036","21766","1024","20928","960","838","298"
"8600000US29037","ZCTA5 29037","614","209","585","205","29","34"
"8600000US29039","ZCTA5 29039","3715","727","3636","719","79","73"
"8600000US29040","ZCTA5 29040","10616","1230","10096","1185","520","343"
"8600000US29042","ZCTA5 29042","5076","386","5046","387","30","35"
"8600000US29208","ZCTA5 29208","760","124","712","101","48","47"
"8600000US29126","ZCTA5 29126","2035","288","2026","287","9","15"
"8600000US29117","ZCTA5 29117","1056","513","1045","513","11","20"
"8600000US29147","ZCTA5 29147","0","12","0","12","0","12"
"8600000US29225","ZCTA5 29225","1308","202","1261","196","47","39"
"8600000US29324","ZCTA5 29324","336","290","336","290","0","12"
"8600000US29329","ZCTA5 29329","247","122","247","122","0","12"
"8600000US29331","ZCTA5 29331","194","222","194","222","0","12"
"8600000US29333","ZCTA5 29333","581","246","505","193","76","91"
"8600000US29346","ZCTA5 29346","293","159","293","159","0","12"
"8600000US29368","ZCTA5 29368","96","149","96","149","0","12"
"8600000US29378","ZCTA5 29378","175","191","42","36","133","209"
"8600000US29409","ZCTA5 29409","2666","184","2543","203","123","78"
"8600000US29410","ZCTA5 29410","22836","133","20677","520","2159","519"
"8600000US29424","ZCTA5 29424","390","116","367","112","23","23"
"8600000US29588","ZCTA5 29588","45385","1459","40850","1391","4535","931"
"8600000US29613","ZCTA5 29613","1917","228","1833","224","84","44"
"8600000US29614","ZCTA5 29614","2128","241","1977","224","151","55"
"8600000US29634","ZCTA5 29634","5129","419","4986","398","143","72"
"8600000US29707","ZCTA5 29707","28866","1077","26685","1101","2181","423"
"8600000US29733","ZCTA5 29733","1852","176","1766","185","86","56"
"8600000US29899","ZCTA5 29899","1120","114","1104","113","16","19"
"8600000US29904","ZCTA5 29904","712","230","525","186","187","84"
"8600000US29905","ZCTA5 29905","3083","637","2540","592","543","209"
"8600000US29907","ZCTA5 29907","14801","876","13560","819","1241","392"
"8600000US29909","ZCTA5 29909","18829","1194","18317","1261","512","328"
"8600000US29912","ZCTA5 29912","0","12","0","12","0","12"
"8600000US29915","ZCTA5 29915","445","85","438","84","7","10"
"8600000US29817","ZCTA5 29817","4420","547","4275","533","145","142"
"8600000US29321","ZCTA5 29321","3194","654","3164","655","30","35"
"8600000US29014","ZCTA5 29014","1763","384","1763","384","0","12"
"8600000US29038","ZCTA5 29038","2169","478","1913","354","256","339"
"8600000US29053","ZCTA5 29053","17852","935","16462","1013","1390","529"
