"GEO_ID","NAME","B10051I_001E","B10051I_001M","B10051I_002E","B10051I_002M","B10051I_003E","B10051I_003M","B10051I_004E","B10051I_004M","B10051I_005E","B10051I_005M","B10051I_006E","B10051I_006M","B10051I_007E","B10051I_007M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over"
"8600000US00906","ZCTA5 00906","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"8600000US00907","ZCTA5 00907","174","118","12","20","12","20","0","21","162","116","78","64","84","70"
"8600000US00909","ZCTA5 00909","88","66","61","58","50","56","11","18","27","27","22","25","5","9"
"8600000US00911","ZCTA5 00911","46","42","32","37","25","31","7","10","14","15","0","19","14","15"
"8600000US00912","ZCTA5 00912","56","45","29","35","19","31","10","16","27","28","0","19","27","28"
"8600000US00913","ZCTA5 00913","145","78","85","60","85","60","0","19","60","52","38","37","22","24"
"8600000US00915","ZCTA5 00915","664","177","379","130","221","96","158","82","285","115","83","58","202","99"
"8600000US00917","ZCTA5 00917","332","114","128","67","31","29","97","61","204","95","81","69","123","56"
"8600000US00918","ZCTA5 00918","174","97","37","38","31","34","6","8","137","92","26","30","111","88"
"8600000US00920","ZCTA5 00920","437","126","212","102","108","73","104","68","225","70","83","51","142","62"
"8600000US00921","ZCTA5 00921","822","195","336","121","246","99","90","58","486","167","114","72","372","156"
"8600000US00923","ZCTA5 00923","642","192","270","114","115","81","155","74","372","136","135","68","237","118"
"8600000US00924","ZCTA5 00924","1166","263","635","211","276","124","359","153","531","159","170","90","361","121"
"8600000US00925","ZCTA5 00925","47","54","20","32","0","19","20","32","27","44","0","19","27","44"
"8600000US00926","ZCTA5 00926","2361","415","949","286","477","235","472","153","1412","311","304","128","1108","263"
"8600000US00927","ZCTA5 00927","149","84","37","36","0","21","37","36","112","73","51","51","61","44"
"8600000US00934","ZCTA5 00934","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"8600000US00936","ZCTA5 00936","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"8600000US00949","ZCTA5 00949","2245","377","984","218","536","166","448","145","1261","286","530","189","731","190"
"8600000US00950","ZCTA5 00950","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"8600000US00951","ZCTA5 00951","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"8600000US00952","ZCTA5 00952","200","128","68","54","30","29","38","45","132","100","109","97","23","21"
"8600000US00953","ZCTA5 00953","2130","419","951","233","551","192","400","155","1179","330","359","165","820","243"
"8600000US00956","ZCTA5 00956","1590","272","594","174","321","136","273","95","996","220","227","93","769","206"
"8600000US00957","ZCTA5 00957","1050","233","494","177","264","147","230","117","556","165","229","110","327","128"
"8600000US00959","ZCTA5 00959","1202","334","549","238","234","146","315","159","653","211","304","164","349","116"
